id,item,file,priority,submitted,status,sign1,sign2,due,archive
DS-202609-01,跨境电商重写稿二次核对（原稿政策不存在）,src/content/articles/cross-border-ecommerce-export-tax-2026.md,P0,2026-09-19,待首签（AI 二次核对已完成 2026-09-19）,政策研究员（待指定姓名）,主编 + 法务（金融/健康类必签）,2026-09-24,./2026-09/cross-border-ecommerce-export-tax-2026-verification.md
DS-202609-02,LPR 篇修订复核（3.0%/3.5%、示例重算）,src/content/articles/lpr-2026-september.md,P0,2026-09-19,待首签,政策研究员（待指定姓名）,主编 + 法务（金融/健康类必签）,2026-09-24,./2026-09/lpr-2026-september-verification.md
DS-202609-03,存量房贷篇复核（2024 时间线、+30BP 方向）,src/content/articles/existing-mortgage-rate-batch-adjustment.md,P0,2026-09-19,待首签,政策研究员（待指定姓名）,主编 + 法务（金融/健康类必签）,2026-09-24,./2026-09/existing-mortgage-rate-batch-adjustment-verification.md
DS-202609-04,个税篇复核（大病 8 万、删合并申报）,src/content/articles/individual-income-tax-annual-filing-2027.md,P1,2026-09-19,待首签,政策研究员（待指定姓名）,主编 + 法务（金融/健康类必签）,2026-09-26,./2026-09/individual-income-tax-annual-filing-2027-verification.md
DS-202609-05,医保篇复核（删城市限额表、划入规则）,src/content/articles/medical-insurance-personal-account-2026.md,P1,2026-09-19,待首签,政策研究员（待指定姓名）,主编 + 法务（金融/健康类必签）,2026-09-26,./2026-09/medical-insurance-personal-account-2026-verification.md
DS-202609-07,批次报告 PV-202609-01 主编+法务签署,docs/policy-verifications/2026-09/policy-verification-report.md,P1,2026-09-19,待首签,政策研究员（待指定姓名）,主编 + 法务,2026-09-26,./2026-09/policy-verification-report.md
DS-202609-06,养老金篇复核（6 类领取、3% 计税、扩容）,src/content/articles/personal-pension-fully-implemented.md,P2,2026-09-19,待首签,政策研究员（待指定姓名）,主编 + 法务（金融/健康类必签）,2026-10-03,./2026-09/personal-pension-fully-implemented-verification.md
DS-202609-08,legal 三页法务审核（隐私政策/用户协议/免责声明）,src/pages/legal/{privacy,terms,disclaimer}.astro,P1,2026-09-20,已提交；项目决策已提前推进生产切换（commit 90eb9e1，2026-09-20）— 见变更记录，仍待法务反馈正式流转,项目负责人（首签）,法务（二签/终签）,2026-09-26,../../../docs/legal-review-package.md
DS-202609-09,退休年龄计算器政策核对（全国人大 2024-09-13 决定+附件对照表）,src/lib/calculators/retirement-age.ts + src/pages/finance/retirement-age-cn.astro,P1,2026-09-21,待首签（AI 预核 10 维度全过）,政策研究员（待指定姓名）,主编 + 法务（金融/养老类必签）,2026-09-28,./2026-09/retirement-age-cn-verification.md
DS-202609-10,股票佣金计算器公示口径核对（上交所+证券业协会）,src/lib/calculators/stock-commission.ts + src/pages/finance/stock-commission-cn.astro,P1,2026-09-21,待首签（AI 预核 10 维度全过）,政策研究员（待指定姓名）,主编 + 法务（金融/税务类必签）,2026-09-28,./2026-09/stock-commission-cn-verification.md
